Name,Type of Sell,Category,MRP,Best Price,Manufacturer
Navgun Oral Drops Strawberry,bottle of 30 ml Oral Drops,"Ayurveda , Cold & Cough",50,50,Kee Pharma
Navgun P Syrup Strawberry,bottle of 60 ml Syrup,"Ayurveda , Cold & Cough",63,63,Kee Pharma
Navgun Syrup Sugar Free Strawberry,bottle of 100 ml Syrup,Cold & Cough,?83,81.34,Kee Pharma
Navgun-Ho Cough Syrup Strawberry,bottle of 100 ml Syrup,"Ayurveda , Cold & Cough",77,77,Kee Pharma
Navibrite AS Gel,tube of 10 gm Gel,Skin Care,395,395,Sedge Bioceuticals Inc India
Navibrite G Intense Skin Lightening Cream,tube of 20 gm Cream,Skin Care,540,540,Sedge Bioceuticals Inc India
Navical Tablet,strip of 10 tablets,Vitamin and Supplements,?44.45,39,Navil Laboratories Pvt Ltd
Navical Tablet,strip of 20 tablets,Vitamin and Supplements,?75,66,Navil Laboratories Pvt Ltd
Navifert Sachet Orange Sugar Free,packet of 30 tablets,Vitamin and Supplements,?375,338,Mediquest Inc.
Navifert Sachet Orange Sugar Free,sachet of 5 gm Granules,"Protein Supplements , Amino Acids",?49.5,44,Mediquest Inc.
Naviglobin Drop,packet of 15 ml Drop,Ayurveda,74.7,74.7,Navil Laboratories Pvt Ltd
Naviglobin P Suspension,bottle of 200 ml Suspension,Vitamin and Supplements,?93,79,Navil Laboratories Pvt Ltd
Naviglobin Syrup,bottle of 300 ml Syrup,"Vitamin and Supplements , Fitness and Supplements",?155,138,Navil Laboratories Pvt Ltd
Naviglobin XT Tablet,strip of 10 tablets,"Ayurveda , Vitamin and Supplements",115,115,Navil Laboratories Pvt Ltd
Navion 400 Softgel Capsule,strip of 10 soft gelatin capsules,Vitamin and Supplements,?55,48,Napsko Healthcare Private Limited
Naviron Syrup,bottle of 200 ml Syrup,"Mineral Supplements , Ayurveda , Vitamin and Supplements",?125,119,Navil Laboratories Pvt Ltd
Naviron Tablet,strip of 10 tablets,"Mineral Supplements , Ayurveda , Vitamin and Supplements",?98,93,Navil Laboratories Pvt Ltd
Navishield Anhydrous Soft Gel,tube of 50 gm Gel,"Summer Essentials , Sunscreen Products , Skin Care",700,700,Sedge Bioceuticals Inc India
Navishield OC Anhydrous Soft-Gel SPF 30,tube of 30 gm Gel,"Sunscreen Products , Skin Care",395,395,Sedge Bioceuticals Inc India
